Class,Field 1,Field 2,Field 3,Field 4,Field 5,Field 6,Field 7,Field 8,Field 9,Field 10
-1,0.28609,0.00537546,0.00506478,0.00141174,-1.81372e-7,-9.36302e-6,3.77062e-6,1.14,1.39,1.26
1,0.264389,0.00890049,0.00204073,0.000119424,-5.17181e-8,-6.59268e-6,-2.83036e-8,1.01,1.33,1.27
-1,0.200211,0.00287063,0.000968178,0.000106568,3.35698e-8,5.64951e-6,6.69397e-9,0.76,1.24,1.37
-1,0.198167,0.00258727,0.000912096,0.000102422,2.96223e-8,5.01461e-6,1.01246e-8,2.21,1.28,1.27
1,0.169629,0.00118172,0.000324624,3.42385e-6,-9.80369e-11,-1.16786e-7,5.84653e-11,0.59,1.29,1.28
-1,0.201066,0.00311992,0.00100598,0.000120608,4.07325e-8,6.61806e-6,1.02832e-8,0.34,1.28,1.28
1,0.181106,0.00193771,0.000831813,1.7357e-5,-8.78463e-10,-6.83579e-7,1.89154e-9,0.63,1.24,1.33
1,0.165693,0.000793809,0.000207343,2.10175e-6,3.92189e-11,5.51866e-8,-1.96692e-11,1.03,1.19,1.88
-1,0.182675,0.00217119,0.000558706,4.39229e-5,6.87958e-9,2.04581e-6,1.20869e-10,1.56,1.29,1.24
-1,0.206794,0.00225203,0.00113925,0.000114009,4.10562e-8,5.40941e-6,-1.62735e-9,0.57,1.28,1.28
1,0.197838,0.00291579,0.00160826,3.18905e-5,-3.099e-9,-1.65002e-6,6.52351e-9,1.4,1.29,1.3
-1,0.207405,0.00269786,0.00120664,0.00011912,4.33588e-8,5.98586e-6,1.26314e-8,0.7,1.25,1.27
-1,0.175988,0.00134022,0.000377258,1.69638e-5,1.29952e-9,6.0136e-7,3.91045e-10,0.74,1.24,1.32
1,0.167332,0.000604133,0.000175019,6.58899e-7,-3.97567e-12,7.39904e-9,5.85319e-12,0.92,1.21,1.36
-1,0.190565,0.00103308,0.000711185,5.761e-5,1.15976e-8,1.84338e-6,1.21457e-9,1.09,1.25,1.33
-1,0.1882,0.00100368,0.000674722,5.34503e-5,1.01331e-8,1.68963e-6,5.94477e-10,1.12,1.25,1.32
1,0.168189,0.00069277,0.000308359,2.4069e-6,-6.53948e-11,-6.2455e-8,-4.81222e-12,1.02,1.23,1.31
-1,0.186981,0.00150404,0.000765443,4.99106e-5,9.65611e-9,1.93486e-6,-1.38844e-9,0.26,1.28,1.28
1,0.176578,0.00134564,3.85271e-5,1.90354e-5,-8.18348e-11,6.77547e-7,-5.08959e-10,0.27,1.29,1.28
-1,0.172767,0.000780748,0.000453404,1.07932e-5,2.7917e-10,1.31158e-7,7.01526e-10,0.81,1.26,1.37
-1,0.197179,0.00309356,0.000937838,8.96593e-5,2.57261e-8,4.9458e-6,-3.75713e-9,1.4,1.27,1.32
1,0.177856,0.00184936,0.000666828,1.33159e-5,-4.74801e-10,-4.80427e-7,1.16147e-9,0.98,1.3,1.23
-1,0.183973,0.00192798,0.000553588,3.18497e-5,4.19069e-9,1.39336e-6,-5.68852e-10,1.23,1.38,1.12
1,0.170699,0.000953026,0.000510137,8.21549e-6,-2.85837e-10,-2.15936e-7,4.48517e-10,0.94,1.23,1.34
-1,0.210297,0.00318824,0.00132214,0.000153605,6.59966e-8,8.36807e-6,-2.0886e-8,1.81,1.24,1.32
1,0.181969,0.0022789,0.000896342,2.51807e-5,-1.28245e-9,-8.98358e-7,3.55902e-9,1.07,1.63,1.12
-1,0.216,0.00397985,0.00163189,0.000201307,1.13201e-7,1.2646e-5,2.2322e-8,1.16,1.32,1.26
1,0.207215,0.00279236,0.00188716,4.69559e-5,9.35554e-9,-6.50227e-7,1.03853e-8,0.91,1.33,1.24
1,0.171326,0.00135737,0.000497107,9.03663e-6,-3.37453e-10,-2.76183e-7,5.0295e-10,0.8,1.29,1.29
-1,0.194707,0.00228189,0.000913768,6.94237e-5,1.58324e-8,3.17349e-6,7.4215e-9,1.21,1.18,1.35
-1,0.205054,0.00223992,0.00128309,0.000129386,5.13651e-8,5.92464e-6,1.18676e-8,1.31,1.23,1.32
1,0.176725,0.00138621,0.00073488,1.05597e-5,-8.73727e-10,-3.88347e-7,3.19227e-10,1.48,1.23,1.34
1,0.175783,0.000705923,0.000270464,5.012e-5,-1.95394e-9,-6.00017e-7,-5.49856e-9,1.79,1.18,1.35
-1,0.176029,0.00105921,0.000489844,3.70745e-6,-1.5768e-10,-6.27566e-8,9.96064e-12,1.38,1.24,1.32
-1,0.189058,0.0010475,0.000673173,4.36117e-5,7.10453e-9,1.3452e-6,2.31611e-9,2.27,1.27,1.3
1,0.1703,0.00121626,0.000436338,7.5144e-6,-3.94765e-10,-2.59135e-7,1.71183e-10,1.13,1.29,1.3
-1,0.204951,0.00335848,0.00101805,0.000110437,3.7005e-8,6.38641e-6,1.36361e-9,0.93,1.26,1.26
1,0.172327,0.00141359,0.000526029,9.95954e-6,-3.54904e-10,-3.14982e-7,6.27466e-10,2.2,1.28,1.28
-1,0.192304,0.0014087,0.000731281,4.9821e-5,9.37509e-9,1.85195e-6,1.59365e-9,2.34,1.28,1.28
1,0.173254,0.00169802,0.000464783,9.83299e-6,-6.64521e-10,-4.02141e-7,-1.71548e-11,0.83,1.39,1.26
-1,0.199622,0.00236595,0.000898171,9.11324e-5,2.39597e-8,4.22854e-6,1.02823e-8,0.61,1.16,1.34
1,0.174196,0.00120924,0.000559285,5.78314e-6,-8.19596e-11,-1.63777e-7,3.18523e-10,2.2,1.26,1.3
1,0.169599,0.00104254,0.000436521,7.14194e-6,-1.46197e-10,-1.86058e-7,3.71009e-10,2.27,1.33,1.24
-1,0.188474,0.00191545,0.000604283,4.63141e-5,7.65371e-9,2.0171e-6,1.20518e-9,2.35,1.28,1.28
-1,0.197481,0.00263969,0.000833695,8.16438e-5,1.93099e-8,4.00315e-6,8.99084e-9,0.79,1.33,1.28
1,0.177903,0.00153987,0.000814546,1.57621e-5,-9.94371e-10,-5.54064e-7,1.48357e-9,0.85,1.32,1.27
-1,0.182721,0.0011316,0.000557928,3.04396e-5,3.95854e-9,1.02394e-6,2.5683e-10,2.11,1.28,1.28
1,0.172514,0.00147393,0.000542081,1.4368e-5,-8.03895e-10,-3.66832e-7,-9.80632e-10,1.08,1.26,1.35
-1,0.178603,0.0017908,0.000383577,1.82522e-5,1.52496e-9,7.72091e-7,8.28977e-11,2.35,1.28,1.28
1,0.168282,0.00167986,0.000143589,1.65027e-6,-1.96383e-11,-6.12392e-8,-1.61142e-11,1.18,1.34,1.27
-1,0.198333,0.00158782,0.000953084,8.49428e-5,2.39722e-8,3.38089e-6,3.0763e-9,0.74,1.3,1.32
1,0.171136,0.00161893,0.000344107,7.15246e-6,-1.98557e-10,-2.11264e-7,-2.94083e-10,2.06,1.34,1.28
-1,0.170989,0.00132428,0.000180588,4.87228e-6,1.43335e-10,1.76892e-7,1.85079e-11,1.1,1.33,1.3
1,0.166992,0.00126195,0.000108124,2.22408e-9,-9.3699e-16,-7.8156e-11,5.58186e-16,2.04,1.3,1.29
1,0.290915,0.0116245,0.00704625,6.95756e-5,4.84e-8,-1.61215e-7,5.53291e-9,0.71,1.32,1.33
-1,0.221425,0.000647046,0.00187953,0.000112875,4.89108e-8,2.82942e-6,-1.76272e-8,0.83,1.3,1.31
-1,0.221202,0.000650891,0.0016881,0.000136682,6.32261e-8,3.4648e-6,-1.76925e-8,0.92,1.29,1.29
-1,0.2217,0.000522585,0.00194569,0.000120523,3.62579e-8,2.22221e-6,-4.57351e-8,0.83,1.31,1.26
1,0.288554,0.0103832,0.00659217,6.64048e-5,1.40702e-8,4.12702e-6,-4.16213e-8,2.35,1.28,1.28
-1,0.230242,0.00517389,0.00167328,0.000209027,8.93835e-8,1.26054e-5,8.53952e-8,2.13,1.3,1.26
-1,0.235007,0.00576678,0.00165721,0.000204238,1.01771e-7,1.41237e-5,6.13281e-8,0.52,1.29,1.26
1,0.239227,0.00467964,0.00371908,0.000112899,5.73864e-8,-1.82017e-6,4.53721e-8,2.24,1.28,1.28
-1,0.182814,0.00176597,0.000408796,1.21346e-5,8.48828e-10,5.08653e-7,-9.96015e-11,1.32,1.39,1.21
-1,0.236902,0.00677386,0.00175239,0.000229836,1.44866e-7,1.8749e-5,-1.70193e-8,1.21,1.27,1.28
-1,0.189138,0.00146847,0.000731953,3.72947e-5,5.68968e-9,1.35015e-6,-2.36565e-9,0.98,1.05,2.21
-1,0.214473,0.00271803,0.00121778,0.000103756,3.3257e-8,5.12898e-6,-1.5943e-8,1.66,1.27,1.28
1,0.184708,0.00149238,0.00108486,1.6083e-5,-5.01625e-10,-4.98488e-7,2.06434e-9,1.79,1.2,1.32
1,0.230492,0.0041048,0.00302241,4.95163e-5,-1.98122e-9,-2.50651e-6,1.9053e-8,1.25,1.27,1.32
-1,0.207667,0.00381591,0.00108495,0.000128781,4.80705e-8,7.95506e-6,2.53466e-9,1.37,1.31,1.26
-1,0.231226,0.0056537,0.00179475,0.000250631,1.66433e-7,1.8689e-5,-2.35787e-8,0.77,1.3,1.26
1,0.178369,0.00143852,0.000747981,1.43336e-5,5.26742e-10,-1.85748e-7,1.38753e-9,1.55,1.27,1.3
1,0.196628,0.00248201,0.00151387,4.1356e-5,5.33546e-9,-7.14587e-7,8.86635e-9,1.07,1.52,0.62
1,0.191537,0.00227121,0.00120459,3.40281e-5,6.37208e-9,7.92412e-8,2.61907e-9,0.87,1.23,1.38
1,0.233833,0.00433845,0.00311167,7.66586e-5,3.6864e-8,6.78482e-7,6.54342e-9,0.25,1.28,1.28
-1,0.21112,0.00449804,0.00105138,9.1224e-5,2.74633e-8,6.0582e-6,-6.6271e-9,0.6,1.27,1.31
-1,0.186176,0.00244884,0.000437719,2.34927e-5,2.37851e-9,1.15917e-6,-1.34393e-10,1.07,1.3,1.37
1,0.186138,0.00202898,0.000954198,1.8082e-5,1.01629e-9,-2.90251e-7,2.14674e-9,2.3,1.28,1.28
1,0.224229,0.00402995,0.00261493,7.14036e-5,2.52566e-8,-5.43038e-7,1.77219e-8,0.73,1.32,1.29
-1,0.215504,0.00477003,0.00107837,0.000123218,4.32664e-8,8.2285e-6,-1.20586e-8,2.18,1.33,1.26
2,0.318552,0.0218511,0.000347396,0.00186597,-1.49927e-6,0.00027318,-9.61314e-8,2.35,1.28,1.28
2,0.211499,0.00753025,0.000150936,0.000137881,-1.21289e-8,1.07795e-5,1.57651e-8,1.4,1.24,1.32
-2,0.230686,0.0232821,0.000179143,0.000134477,2.08699e-8,2.0408e-5,-3.13129e-10,2.09,1.3,1.28
2,0.229582,0.00846747,0.000366839,0.000218177,-5.52735e-8,1.85733e-5,2.74703e-8,2.34,1.28,1.28
-2,0.197722,0.011944,1.82283e-5,6.37841e-6,6.54071e-11,4.34173e-7,2.12635e-11,1.89,1.24,1.32
-2,0.203878,0.0135099,5.22394e-5,2.34138e-5,8.16694e-10,2.6636e-6,5.94386e-11,0.85,1.14,2.01
-2,0.212487,0.0157577,0.000189057,5.49024e-5,4.63382e-9,1.98046e-6,-3.13286e-9,0.8,1.37,1.26
2,0.187647,0.00464015,0.000485704,1.79425e-6,-2.29851e-11,-1.16957e-7,-4.77205e-11,0.48,1.3,1.26
2,0.181696,0.00354685,0.000204399,1.98152e-6,-3.29728e-11,-8.21047e-8,-2.24296e-11,0.66,1.31,1.26
-2,0.209002,0.0155712,2.95405e-5,2.11935e-5,5.29796e-10,2.63682e-6,2.29028e-11,2.02,1.3,1.27
-2,0.194376,0.0107423,4.7155e-5,1.26754e-5,3.06954e-10,1.18645e-6,-4.25378e-11,1.75,1.3,1.31
-2,0.222499,0.0201836,0.000186451,9.6992e-5,1.30415e-8,1.35187e-5,-2.13431e-10,1.1,1.44,1.18
-2,0.22166,0.0207957,8.23255e-5,4.54321e-5,2.77523e-9,6.23563e-6,-1.34986e-10,1.83,1.39,1.23
-2,0.216545,0.0187605,6.51535e-5,3.90618e-5,1.9698e-9,5.21063e-6,-5.58882e-11,2.14,1.32,1.26
2,0.204323,0.00678105,0.000253556,6.29915e-5,-4.44353e-9,4.64741e-6,6.60533e-9,2.05,1.42,1.16
2,0.211475,0.0078036,0.00029693,8.57526e-5,-5.64437e-9,6.4771e-6,1.24651e-8,0.88,1.29,1.54
2,0.193332,0.00496308,0.000384963,7.47976e-6,2.34735e-10,5.89262e-8,3.25568e-10,2.01,1.33,1.26
2,0.195505,0.0057116,0.000384528,8.30408e-6,9.05494e-11,2.42429e-7,4.60427e-10,0.46,1.3,1.26
-2,0.216403,0.0188088,6.8876e-5,4.49701e-5,2.50273e-9,6.08521e-6,-1.23939e-11,0.82,1.33,1.28
-2,0.221826,0.0201656,9.92781e-5,6.82286e-5,5.61528e-9,9.68227e-6,2.75682e-11,2.33,1.2,1.29
2,0.331151,0.0206117,0.00199405,0.000937703,-1.06745e-6,0.000125135,7.1039e-7,1.84,1.3,1.29
-2,0.242456,0.0215303,0.000790448,7.6782e-5,-1.39335e-8,-4.6545e-6,1.27933e-8,1.79,1.27,1.31
-2,0.227344,0.0195602,0.00025308,0.000109254,1.80471e-8,1.50279e-5,-2.08451e-9,1.65,1.29,1.3
-2,0.229755,0.0184415,0.00104791,0.000475429,3.35576e-7,6.43942e-5,-3.38765e-10,1.55,1.29,1.29
-2,0.280478,0.02739,0.00281814,0.000722027,1.5499e-7,4.53654e-5,1.01821e-6,1.78,1.29,1.28
-2,0.224902,0.0197418,0.00019658,5.04524e-5,4.87672e-9,6.57667e-6,-1.20962e-9,2.26,1.28,1.28
-2,0.240873,0.0246822,0.000293056,0.000196733,4.72263e-8,3.06984e-5,1.05689e-9,0.6,1.31,1.29
2,0.292674,0.016186,0.000648912,0.0010308,-5.91538e-7,0.00012279,6.00676e-7,2.12,1.33,1.26
-2,0.252151,0.0262476,0.000887271,0.000746316,6.07253e-7,0.000119439,-8.48959e-9,0.65,1.28,1.32
-2,0.271036,0.00216111,0.000207174,0.00011325,-2.93467e-9,1.82565e-6,1.70971e-8,0.58,1.31,1.29
2,0.316512,0.0199407,0.00048003,0.00178126,-1.63246e-6,0.000250463,-2.19248e-7,0.7,1.28,1.3
-2,0.233647,0.000372015,0.000858407,2.37353e-5,2.29023e-9,-7.026e-8,-2.49661e-9,0.51,1.28,1.27
2,0.398908,0.0314186,0.00105496,0.00481728,-8.99066e-6,0.000829275,6.09113e-6,1.35,1.3,1.26
2,0.502703,0.0577367,0.00163518,0.0109382,-3.8671e-5,0.00262772,-2.53873e-5,0.35,1.27,1.29
2,0.28671,0.0151852,0.000466354,0.00101339,-6.43179e-7,0.000121668,2.67707e-7,2.25,1.29,1.28
2,0.318188,0.0197972,0.000639804,0.00169433,-1.56785e-6,0.000234062,8.08603e-7,1.4,1.19,1.36
-2,0.226845,0.0208497,0.000250716,7.86634e-5,1.10355e-8,1.13534e-5,-5.07568e-10,1.41,1.2,1.32
-2,0.327262,0.0495949,0.00184546,0.00274488,6.06809e-6,0.000609945,-1.1594e-6,0.68,1.28,1.3
-2,0.238377,0.0253232,0.000240781,0.00023275,5.50886e-8,3.69437e-5,1.0798e-9,2.26,1.28,1.28
-2,0.242115,0.0262903,0.000302476,0.00026583,7.53705e-8,4.25485e-5,1.13733e-9,2.04,1.31,1.28
-2,0.340236,0.0421492,0.0077593,0.00586404,3.92653e-5,0.00120387,-4.78259e-6,2.1,1.28,1.29
-2,0.231474,0.00357165,0.00256193,0.000653589,7.82395e-7,3.89514e-5,-3.21167e-7,2.09,1.3,1.27
2,0.318159,0.0235017,0.00150466,0.00104351,-5.82768e-7,0.000140052,1.17052e-6,2.29,1.28,1.28
2,0.328425,0.0265981,0.00154302,0.00120521,-1.21354e-6,0.000181519,1.1084e-6,2.22,1.3,1.28
2,0.417147,0.0401337,0.00281825,0.00266768,-5.4332e-6,0.00050113,4.89732e-6,2.26,1.28,1.28
2,0.4423,0.0481965,0.00368897,0.0031643,-8.9414e-6,0.000660029,6.07705e-6,0.41,1.3,1.27
-2,0.236811,0.0260125,0.000146746,0.000122424,1.63866e-8,1.97436e-5,-8.58791e-10,1.0,1.26,1.3
-2,0.236099,0.0253368,0.000191353,0.000138363,2.25128e-8,2.19802e-5,-2.18669e-10,0.94,1.3,1.29
-2,0.240599,0.026951,0.000246463,0.000188912,4.07627e-8,3.10024e-5,-9.7464e-11,0.72,1.25,1.3
2,0.289378,0.0207156,0.00179589,0.000313987,-1.25592e-7,3.70529e-5,1.99547e-7,1.29,1.3,1.28
2,0.308513,0.0245162,0.00174588,0.000546225,-2.96858e-7,7.40266e-5,4.43177e-7,0.65,1.26,1.29
-2,0.221026,0.0197872,0.000168924,8.73432e-5,1.05942e-8,1.21631e-5,-5.65954e-10,0.92,1.25,1.32
-2,0.280624,0.0412154,0.000175521,0.00014927,2.4159e-8,2.74327e-5,-3.45869e-10,1.72,1.25,1.28
2,0.317897,0.0255279,0.00133555,0.00100065,-8.9745e-7,0.000149452,7.29886e-7,1.75,1.26,1.28
2,0.255396,0.0134846,0.000670501,0.000287884,-8.86084e-8,2.95091e-5,9.02557e-8,1.26,1.31,1.29
-2,0.214144,0.0169023,0.000147794,3.11932e-5,1.30674e-9,2.48876e-6,-1.66679e-9,1.65,1.26,1.28
-2,0.225446,0.021835,5.58899e-5,5.23189e-5,2.82876e-9,7.59575e-6,4.60952e-11,0.45,1.29,1.28
-2,0.237808,0.0251916,0.000163985,0.000121434,1.62477e-8,1.88182e-5,-5.44567e-9,0.93,1.31,1.26
2,0.290731,0.0158475,0.000125844,0.000557706,4.57665e-8,1.33318e-5,1.40482e-7,0.74,1.28,1.28
2,0.325931,0.0271673,0.0013057,0.0011511,-1.18335e-6,0.000178293,7.68897e-7,1.7,1.26,1.29
-2,0.245161,0.0259527,0.000316898,0.000242376,6.71649e-8,3.85165e-5,1.0363e-9,0.56,1.27,1.29
2,0.33564,0.0284952,0.00114461,0.00154962,-1.93992e-6,0.000253523,7.04261e-7,2.24,1.28,1.28
2,0.334493,0.0250367,0.00109925,0.00163889,-1.81283e-6,0.000251487,1.24601e-6,1.23,1.26,1.28
-2,0.255541,0.0259556,0.000649169,0.00050406,2.88307e-7,8.10809e-5,-4.2788e-9,2.01,1.29,1.28
-2,0.253091,0.0277102,0.000496981,0.000441453,2.06733e-7,7.32768e-5,4.1322e-9,1.42,1.28,1.33
-2,0.246572,0.0268154,0.000337244,0.000278801,8.54356e-8,4.55803e-5,-3.03909e-9,1.61,1.32,1.26
-2,0.259672,0.0305971,0.000454851,0.000429061,1.89545e-7,7.50494e-5,-4.94604e-10,1.35,1.28,1.28
2,0.344507,0.0262885,0.000759422,0.00253021,-3.10543e-6,0.000400914,1.63026e-6,1.62,1.3,1.27
2,0.364839,0.0293903,0.00177378,0.00210114,-3.41229e-6,0.000342809,2.19314e-6,2.35,1.28,1.28
2,0.370528,0.0322529,0.00178398,0.00239878,-4.27547e-6,0.000415309,2.51884e-6,0.43,1.27,1.29
-2,0.366606,0.0407458,0.00877577,0.0052556,2.45204e-5,0.00105625,-2.59364e-5,2.31,1.27,1.28
-2,0.37096,0.0585881,0.00632997,0.00640009,3.86859e-5,0.0015489,-1.27605e-5,0.91,1.02,1.39
-2,0.280738,0.0369254,0.000493369,0.000514571,2.58534e-7,9.85943e-5,-1.95307e-8,0.53,1.28,1.28
2,0.379784,0.0337925,0.000851404,0.0040259,-7.37334e-6,0.000739199,-1.09044e-6,2.34,1.28,1.26
2,0.354525,0.0265771,0.000968364,0.00272817,-4.09352e-6,0.000433105,1.70478e-6,1.85,1.23,1.32
-2,0.174235,0.00226146,0.000273684,1.78609e-5,1.24821e-9,8.27367e-7,3.73173e-11,1.98,1.32,1.27
-2,0.192344,0.00110345,1.06874e-5,2.02098e-7,-1.89359e-13,-5.20237e-9,-2.28827e-13,1.77,1.28,1.3
2,0.375444,0.0358856,0.000780736,0.00389367,-6.78844e-6,0.000728521,-6.55428e-8,2.21,1.29,1.27
-2,0.235218,0.0198887,0.000921285,0.000489441,3.26887e-7,6.84462e-5,-3.40899e-8,1.43,1.32,1.29
-2,0.258098,0.0303658,0.000422301,0.000389106,1.5729e-7,6.77266e-5,1.17653e-8,2.15,1.29,1.28
-2,0.283751,0.0386909,0.000589694,0.000660097,4.11513e-7,0.000129653,1.63369e-8,2.04,1.3,1.27
2,0.318621,0.0200854,0.000582242,0.00176416,-1.4511e-6,0.000237241,1.04457e-6,1.76,1.24,1.27
-2,0.246106,0.0226994,0.00108141,0.000602827,4.86511e-7,9.07032e-5,-1.44352e-8,0.44,1.29,1.27
-2,0.408291,0.102018,0.00343016,0.00335113,1.12698e-5,0.000872536,1.44248e-6,2.24,1.24,1.32
-2,0.220639,0.0198933,0.00015377,8.26322e-5,9.30723e-9,1.1654e-5,3.68193e-10,1.72,1.31,1.28
2,0.241394,0.00803675,0.0004637,0.000422572,1.61643e-8,2.86284e-5,1.86355e-7,1.77,1.29,1.3
2,0.230615,0.00782789,0.000584423,0.000169768,-8.67365e-9,1.02869e-5,5.27664e-8,1.88,1.08,1.38
2,0.218356,0.00816062,0.000628147,6.75123e-5,6.75856e-9,1.57894e-6,1.21496e-8,2.35,1.27,1.28
-2,0.222347,0.0205136,0.000263401,0.000133959,2.51621e-8,1.91746e-5,2.38199e-10,0.81,1.33,1.3
-2,0.222555,0.0213549,0.000158978,6.97363e-5,7.33722e-9,1.01906e-5,2.83901e-10,1.19,1.28,1.29
2,0.241131,0.0093664,0.00100256,0.000244056,-1.16063e-8,1.57348e-5,1.20163e-7,1.77,1.11,1.35
-2,0.224162,0.02016,0.000192457,8.95929e-5,1.16927e-8,1.26812e-5,-1.29889e-9,1.67,1.11,1.36
2,0.210007,0.0058708,0.000776396,0.000112775,3.23972e-8,1.43421e-6,8.00032e-9,1.22,1.28,1.28
2,0.249766,0.0112654,0.000461137,0.000227236,-7.06805e-8,2.20494e-5,2.03729e-8,2.14,1.29,1.28
-2,0.214559,0.0178884,8.43179e-5,4.98146e-5,3.21183e-9,6.47349e-6,-3.27297e-10,1.21,1.27,1.28
2,0.333355,0.0213824,0.000648561,0.0014903,-1.36999e-6,0.000208222,-5.19466e-7,2.2,1.29,1.28
2,0.393871,0.0359561,0.00168449,0.0038363,-1.73865e-6,0.000727051,-9.59598e-6,1.45,1.25,1.3
2,0.223114,0.00784224,0.000647097,0.000105697,7.1592e-9,4.36052e-6,2.66996e-8,2.32,1.28,1.28
-2,0.219208,0.019933,0.000121057,5.41327e-5,4.34251e-9,7.44792e-6,-5.87926e-10,1.61,1.37,1.26
-2,0.330295,0.0351803,0.00443157,0.00561234,2.79856e-5,0.0010513,4.66749e-7,0.89,1.32,1.33
3,0.213505,0.00892944,8.49807e-5,2.37674e-5,-9.72694e-10,-1.79701e-6,4.4138e-10,2.24,1.28,1.29
-3,0.264369,0.0413625,0.000721335,0.000277227,1.23645e-7,5.5014e-5,-8.99044e-9,2.2,1.28,1.29
3,0.209251,0.00838044,0.0012381,1.5171e-6,3.51848e-11,9.63539e-8,5.55442e-11,2.31,1.28,1.28
3,0.208074,0.00845524,0.00078422,1.32172e-5,5.21758e-12,8.66982e-7,1.34563e-9,2.25,1.28,1.28
-3,0.291112,0.0548169,0.000944232,0.000352824,2.03448e-7,8.22394e-5,-8.98984e-9,2.25,1.28,1.28
-3,0.268363,0.0435117,0.000848235,0.000369272,2.06653e-7,7.69827e-5,2.64787e-9,2.18,1.28,1.29
3,0.255867,0.0163974,0.00124249,0.000354957,-1.51137e-7,4.44794e-5,1.80901e-7,2.31,1.28,1.28
-3,0.283671,0.0501374,0.0020637,0.000790777,1.00918e-6,0.000175606,-4.52971e-8,2.25,1.27,1.28
-3,0.284825,0.0506476,0.00200069,0.000751712,9.20776e-7,0.000167636,-4.47968e-8,2.28,1.28,1.28
-3,0.232789,0.0273904,8.80527e-8,2.44931e-8,1.08356e-15,-3.53288e-9,3.46e-16,2.35,1.28,1.28
3,0.193641,0.00643484,0.000658216,2.79472e-6,-3.46393e-11,-2.24027e-7,-1.14751e-10,2.35,1.28,1.28
-3,0.242287,0.0312845,1.27415e-5,1.02232e-6,3.65077e-12,1.75567e-7,-5.34527e-13,1.73,1.21,1.35
-3,0.28557,0.0521396,0.000130013,4.34286e-5,3.26149e-9,9.88988e-6,1.0892e-10,0.55,1.34,1.26
3,0.185347,0.0045634,0.000590206,9.45038e-6,-5.22789e-10,-3.14078e-7,4.74164e-10,1.32,1.29,1.28
-3,0.291481,0.0549795,0.00159571,0.000774973,8.61787e-7,0.000181712,-4.7609e-9,2.32,1.28,1.28
-3,0.311128,0.0596549,0.00548749,0.00217036,7.48999e-6,0.000530084,3.01036e-8,0.48,1.21,1.52
3,0.225923,0.00937712,0.000920789,0.000101318,-3.0853e-8,9.80219e-6,2.40257e-9,2.25,1.28,1.28
3,0.274443,0.0144072,0.000826458,0.00119633,-1.17045e-6,0.000143223,2.12351e-7,2.01,1.28,1.29
3,0.221497,0.0101199,0.000861789,5.81532e-5,-1.00855e-8,5.59846e-6,8.23182e-9,2.33,1.28,1.28
